"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Netherlands","NLD","1962","19.691","","","","","","","","","","","","","","","","","","75.68","71.08","","","","","10000","","","","","","","","",""
"Norway","NOR","2020","","","","","","","","","","","","","","","","","","","","","","","","41.4201183431953","49713","5","","","","","","","",""
"Nepal","NPL","1964","125.7714","","","","","","","","","","","","","","","","","","37.345","37.288","","","","","7000","","","","","","","","",""
"Philippines","PHL","1968","60.0256","","","","","","","","","","","","","","","","","","65.43","60.709","","","","","","","","","","","","","",""
"Philippines","PHL","2015","55.404","","","","","","","","","","32.8","50.62","41.91","49.26","51.1","75.25","77.02","64.16","75.007","66.644","1.00364995002747","0.1","0.1","27.2413793103448","254","583","0.970080018043518","1.00727999210358","1.0835599899292","","3.22","2.97","41.4800004959106","35.5000004768372"
"Papua New Guinea","PNG","1964","93.8266","","","","","","","","","","","","","","","","","","42.273","40.839","","","","","","","","","","","","","",""
"Papua New Guinea","PNG","1977","93.055","","","","","","","","","","","","","","","","","","51.858","49.983","","","","","","","0.655210018157959","0.613600015640259","0.411300003528595","","","","",""
"Poland","POL","1972","26.331","","","","","","","","","","","","","","","","","","74.2","67.3","","","","","","140","0.949010014533997","0.991840004920959","1.04322004318237","0.919139981269836","","","",""
"Portugal","PRT","1978","38.2996","","","","","","","","","","","","","","","","","","73.8","67","","","","","7500","","0.953010022640228","0.971379995346069","1.02448999881744","0.746259987354279","","","",""
"West Bank and Gaza","PSE","1961","113.026","","","","","","","","","","","","","","","","","","","","","","","","265430","","","","","","","","",""
"Qatar","QAT","1978","78.2432","","","","","","","","","","","","","","","","","","73.531","70.98","","","","","","","0.962599992752075","1.07946002483368","1.20802998542786","","","","",""
"Somalia","SOM","1965","55.389","","","","","","","","","","","","","","","","","","40.54","37.473","","","","","","","","","","","","","",""
"South Sudan","SSD","1999","125.8392","","","","","","","","","","67.54","65.31","66.43","70.83","72.81","78.09","78.89","75.82","50.02","47.511","","1.2","0.6","","","","","","","","13.9","11.7","97.1100025177002","87.1499977111816"
"Sub-Saharan Africa","SSF","1970","154.475511975011","","","","","","","","","","","","","","","","","","45.9755513372234","43.0865548708245","","","","","","","0.71283","0.70834","0.68925","0.682110011577606","","","",""
"Seychelles","SYC","2009","60.4702","","","","","","","","","","","","","","","","","","78","68.4","","","","23.5294117647059","","47","1.02830004692078","1.06876003742218","1.10715997219086","","","","",""
"East Asia & Pacific (IDA & IBRD countries)","TEA","1978","34.2250398305713","","","","","","","","","","","","","","","","","","65.7333314772999","62.4191885455086","0.823660016059875","","","","","","0.87848","0.8458","0.76787","0.744690001010895","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","1986","85.809222516959","","","","","","","","","","","","","","","","","","65.0989002022014","58.6717072953928","0.740790009498596","","","","","","0.79927","0.76037","0.68766","0.538370013237","","","",""
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1962","154.245839073785","","","","","","","","","","","","","","","","","","42.7095296653361","39.8624982901773","","","","","","","","","","","","","",""
"Ukraine","UKR","1978","47.4534","","","","","","","","","","","","","","","","","","73.905","64.467","","","","","","","","","","","","","",""
"Upper middle income","UMC","1998","36.7569185645199","","","","","","","","","","56.8382736906271","66.7554627291428","61.8874274484182","61.6227068057509","67.2918649744345","80.7281672421981","85.1329745649843","76.2907105209028","73.0058796638796","67.5478335742689","0.993539988994598","","","15.1731058705469","3784415","2446242","0.96649","0.96357","0.962","0.960910022258759","5.63673456788419","5.52869304375598","51.3423679245672","51.3424036848497"
"United States","USA","1971","62.4722","","","","","","","","","","","","","","","","","","75","67.4","","","","","530000","","","","","0.690079987049103","","","",""
"Yemen, Rep.","YEM","1987","152.467","","","","","","","","","","","","","","","","","","57.229","54.066","","","","","73000","70000","","","","","","","",""
"South Africa","ZAF","2011","71.0324","","","","","","","","","","24.57","28.64","26.62","45.46","49.11","59.94","63.01","55.99","61.935","55.993","1.00727999210358","13.7","4.2","42.25","57899","422","0.959550023078918","0.998080015182495","1.05729997158051","","27.23","22.59","11.3100000619888","9.26999995112419"
"Gabon","GAB","1988","190.6804","","","","","","","","","","","","","","","","","","62","59.187","","","","","","","0.989960014820099","0.940509974956512","0.771109998226166","0.419719994068146","","","",""
"Guinea","GIN","1965","192.3728","","","","","","","","","","","","","","","","","","36.861","34.656","","","","","","","","","","","","","",""
"United Arab Emirates","ARE","2011","19.3954","","","","","","","","","","29.97","69.15","55.71","45.37","45.86","94.48","94.96","84.09","77.957","75.823","","0.1","0.1","17.5","675","484","","","","","5.96","1.72","0.259999999776483","0.850000023841858"
"Antigua and Barbuda","ATG","1980","100.5568","","","","","","","","","","","","","","","","","","70.192","66.609","","","","","","","","","","","","","",""
"Australia","AUS","1965","47.3192","","","","","","","","","","","","","","","","","","74.2","67.66","","","","","40000","","","","","","","","",""
"Azerbaijan","AZE","2017","55.838","","","","","","","","","","41.42","42.54","42.01","63.3","69.1","70.06","74.38","71.71","75.215","70.128","0.999520003795624","0.1","0.1","16.8","1120","10893","1.0163300037384","","","1.12962996959686","5.93","4.12","62.1800022125244","48.7099990844726"
"Bangladesh","BGD","2010","90.8034","","","","","","","","","","21.88","64.04","43.21","29.85","31.1","83.19","85.24","58.55","71.257","68.694","","","","18.5507246376812","229256","10044","1.06251001358032","1.0859500169754","1.12223994731903","","4.44","3.01","83.420000076294","54.8100004196168"
"Bahrain","BHR","1986","36.3566","","","","","","","","","","","","","","","","","","72.916","70.46","","","","","","","1.01406002044678","0.989109992980957","0.954739987850189","1.37457001209259","","","",""
"Belarus","BLR","2009","21.9382","","","","","","","","","","44.84","50.16","47.57","57.16","71.83","69.06","77.76","74.69","76.4","64.7","1.0004700422287","0.1","0.1","31.8181818181818","578","5518","0.99329000711441","0.976459980010986","0.96917998790741","1.32071995735168","4.63","7.55","2.14999990537763","5.15999986603857"
"Brazil","BRA","1984","80.6138","","","","","","","","","","","","","","","","","","67.185","61.08","","","","","5300","5","","","","","","","",""
"Brazil","BRA","1995","84.048","","","","","","","","","","47.55","75.92","61.81","47.15","50.62","81.02","84.59","67.42","72.019","64.819","","","","","2050","52","","","","","8.11","5.4","32.0700006484986","33.7199993133545"
"Central Europe and the Baltics","CEB","1961","45.4216458639622","","","","","","","","","","","","","","","","","","70.895019171255","65.7708745872179","","","","","","","","","","","","","",""
"Curacao","CUW","1974","61.0652","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czech Republic","CZE","1977","59.103","","","","","","","","","","","","","","","","","","74.21","67.11","","","","","","","1.00805997848511","1.03042995929718","1.04588997364044","0.677909970283508","","","",""
"Czech Republic","CZE","1986","50.9676","","","","","","","","","","","","","","","","","","74.68","67.49","","","","","","411","0.970130026340485","1.02705001831055","1.06268000602722","0.755039989948273","","","",""
"Germany","DEU","1961","40.1368","","","","","","","","","","","","","","","","","","72.238","66.908","","","","","190000","","","","","","","","",""
"Germany","DEU","1968","47.776","","","","","","","","","","","","","","","","","","73.464","67.609","","","","","110000","","","","","","","","",""
"East Asia & Pacific (excluding high income)","EAP","1972","43.6072919159261","","","","","","","","","","","","","","","","","","61.8997580878092","58.2013550601396","","","","","","","","","","","","","",""
"Europe & Central Asia (excluding high income)","ECA","2003","31.3536433567635","","","","","","","","","","33.978244083615","45.7789513429866","39.9587740557682","48.7420853107739","57.5371514878773","67.0696053863649","73.756334631959","65.4320201418487","73.0262757594246","63.0920499186635","0.990840017795563","","","9.3927355278093","662524","1374314","0.978","0.95481","0.94277","1.14277005195618","9.22449164134605","9.63101729033997","22.9711253828519","22.8946496380274"
"Europe & Central Asia (excluding high income)","ECA","2020","","","","","","","","","","","","","","","","","","","","","","","","23.5663786331501","3852819","383181","","","","","","","",""
"Europe & Central Asia","ECS","1979","38.3028453968677","","","","","","","","","","","","","","","","","","74.0840191395285","66.2621265734333","","","","","","","0.9763","0.98011","0.98297","0.980729997158051","","","",""
"Egypt, Arab Rep.","EGY","1980","121.8324","","","","","","","","","","","","","","","","","","60.549","56.184","","","","","1440","","0.705190002918243","0.662819981575012","0.599579989910126","0.466780006885529","","","",""
"Spain","ESP","2012","8.972","","","","","","","","","","36.99","40.02","38.54","52.86","68.36","66.02","80.09","74.29","85.5","79.5","1.00065004825592","0.1","0.2","36","4502","55","0.993749976158142","1.00144994258881","1.0079300403595","1.18076002597809","25.03","24.58","9.33999979496003","14.4300003647805"
"Fiji","FJI","2010","45.639","","","","","","","","","","25.77","49.7","38.08","43.11","44.67","79.2","80.9","63.19","68.262","65.178","","0.1","0.1","","","1849","","","","","4.73","4.11","48.9499988555908","41.8999996185303"
"Gabon","GAB","1993","172.5496","","","","","","","","","","17.42","27.73","22.58","35.74","37.67","58.27","60.88","49.01","61.875","59.365","0.975709974765778","3.3","0.5","","","17","","","","","16.01","18.94","67.1500000953674","37.9899988174439"
"Georgia","GEO","1991","65.8978","","","","","","","","","","34.43","43.67","39.11","60.51","63.24","76.94","78.53","70.59","73.956","66.29","","0.1","0.1","","","","1.00750005245209","0.983680009841919","0.969200015068054","0.897499978542328","1.67","3.64","44.4900012016296","39.0000009536743"
"Gibraltar","GIB","1979","","","","","","","","","","","","","","","","","","","","","","","","","","","1.08414995670319","1.06553995609283","1.03816998004913","","","","",""
"Equatorial Guinea","GNQ","2016","157.8528","","","","","","","","","","28.33","33.76","31.33","54.75","56.14","67.31","68.41","63.33","58.932","56.692","","3.5","1.6","24","","131","","","","","8.42","8.14","78.4899994134903","75.4100033044815"
"Guatemala","GTM","1987","130.333","","","","","","","","","","","","","","","","","","63.304","58.222","","","","","12000","53700","","","","","","","",""
"Hong Kong SAR, China","HKG","1987","7.066","","","","","","","","","","","","","","","","","","79.7","74.2","","","","","9530","","0.985580027103424","1.02339994907379","1.06814002990723","","","","",""
"Honduras","HND","1978","144.9624","","","","","","","","","","","","","","","","","","60.238","55.993","","","","","15000","","0.995630025863647","","","0.575280010700226","","","",""
"Haiti","HTI","2002","66.643","","","","","","","","","","31.43","38.23","34.81","58.03","58.94","69.56","69.32","63.98","59.575","55.748","","1.6","0.5","3.6144578313253","","7722","","","","","12.09","9.16","84.9999980926514","66.2799987792968"
"IDA total","IDA","1967","148.598086833501","","","","","","","","","","","","","","","","","","46.2189741364059","44.2286349873476","","","","","","","","","","","","","",""
"IDA blend","IDB","2000","92.3682987919847","","","","","","","","","","28.0653021270971","54.1605875477495","41.3294331434034","42.9740739847482","43.77868304057","76.0020379024364","77.2325087462909","60.6814768059649","56.4023456102584","54.0796480455776","0.802030026912689","1.82590989714159","0.643327687670163","","2430047","174302","0.80951","0.81027","0.81274","0.717519998550415","4.65428969521442","3.2861531527815","80.3410833913418","66.6274729662369"
"Iraq","IRQ","1979","93.1296","","","","","","","","","","","","","","","","","","63.276","58.079","","","","","400","31000","0.798460006713867","0.696799993515015","0.456739991903305","0.501569986343384","","","",""
"Italy","ITA","1963","21.5912","","","","","","","","","","","","","","","","","","72.06","66.57","","","","","14600","","","","","","","","",""
"Japan","JPN","1962","4.133","","","","","","","","","","","","","","","","","","71.12","66.19","","","","","","","","","","","","","",""
"Japan","JPN","1993","3.8698","","","","","","","","","","46.69","47.73","47.22","50.42","58.24","78.32","84.57","71.5","82.5","76.24","","0.1","0.1","","6495","","","","","","2.62","2.42","21.0799994468689","12.1499996185303"
"Kazakhstan","KAZ","1972","34.909","","","","","","","","","","","","","","","","","","68.226","57.683","","","","","","","","","","","","","",""
"Cambodia","KHM","2020","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","20","","11901","","","","","","","",""
"St. Kitts and Nevis","KNA","2002","","","","","","","","","","","","","","","","","","","74","68.8","","","","13.3333333333333","","","1.07834005355835","1.11155998706818","1.16343998908997","","","","",""
"Lao PDR","LAO","2018","64.939","","","","","","","","","","62.05","56.65","59.32","76.51","80.46","79.81","82.21","81.34","69.417","65.838","","0.1","0.1","27.5167785234899","","6943","0.962270021438599","0.948159992694855","0.933759987354279","1.07037997245789","0.57","0.7","82.0499992370605","68.5399990081787"
"Latin America & Caribbean","LCN","1970","97.8120621156784","","","","","","","","","","","","","","","","","","62.8583038136395","58.1454384458938","","","","","","","0.97054","0.96321","0.94522","0.606100022792816","","","",""
"St. Martin (French part)","MAF","2001","","","","","","","","","","","","","","","","","","","80.2","73.9","","","","","","","","","","","","","",""
"Monaco","MCO","2008","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","","","",""
"Madagascar","MDG","2007","134.274","24.2","27.7","59.1","61.7","57","26","40.9","38.3","43","75.97","77.07","76.52","85.6","87.38","90.01","90.79","89.07","63.478","60.693","","0.1","0.1","7.8740157480315","","282","0.967779994010925","0.96356999874115","0.950720012187958","0.886669993400574","4.01","2.15","89.7699966430664","82.480001449585"
"Maldives","MDV","1970","212.1462","","","","","","","","","","","","","","","","","","43.795","44.479","","","","","","","","","0.560379981994629","","","","",""
"Middle East & North Africa","MEA","1968","131.884510340994","","","","","","","","","","","","","","","","","","52.5442674132019","50.6709561204578","","","","","","","","","","","","","",""
"Middle income","MIC","2014","41.6750470171976","","","","","","","","","","31.1609440710257","51.6021658050492","41.724799623725","45.7680193068101","49.4023529194163","76.7517708254523","80.719803937239","65.2729142218659","73.1152755812642","68.7645888788897","0.968819975852966","","","21.2914961346066","13919435","3404970","1.01412","1.00987","1.00509","1.09296000003815","5.36022533769024","5.263631076862","51.9114875551402","50.8389764372921"
"New Caledonia","NCL","1982","65.502","","","","","","","","","","","","","","","","","","70.3","63.7","","","","","","","","","","","","","",""
"Niger","NER","2003","214.3628","","","","","","","","","","57.82","81.63","69.17","68.86","70.43","90.67","91.7","80.78","52.681","51.242","","0.2","0.1","1.20481927710843","333","716","0.694149971008301","0.668110013008118","0.616100013256073","0.32480001449585","1.75","2.7","90.4000015258789","89.2700004577636"
"Other small states","OSS","2007","70.23365311722","","","","","","","","","","35.8166600155044","46.6057274268966","41.4080250566465","51.0272399486657","54.6256911977499","72.3015596008878","75.0937495530707","65.3226763162883","63.561316833409","60.7049938948009","0.995350003242493","5.52034528552866","1.72332703856901","14.8354712771891","60820","116461","0.96251","0.97442","0.99517","1.20975995063782","14.2992009437246","8.4010714442269","40.9181153277816","28.9455396089892"
"Peru","PER","2006","71.5426","","","","","","","","","","58.79","70.93","64.98","67.21","69.97","84.21","86.47","78.16","75.602","70.857","0.984210014343262","0.1","0.1","29.1666666666667","897","6977","1.00327003002167","1.00620996952057","1.00890004634857","1.07502996921539","4.75","3.86","62.3299999237061","45.3000011444091"
"Philippines","PHL","1991","50.8028","","","","","","","","","","36.76","55.66","46.4","47.54","48.77","77.37","78.25","63.66","70.042","63.769","","0.1","0.1","","8972","15","0.993770003318787","","","","3.79","3.43","48.4700012207031","43.3000001907349"
"Palau","PLW","2018","","","","","","","","","","","","","","","","","","","","","","","","12.5","","","","","","","","","",""
"Papua New Guinea","PNG","1994","74.1412","","","","","","","","","","56.96","55.03","55.97","69.26","70.41","71.31","71.89","71.16","59.341","56.356","","0.1","0.1","","8461","","0.862360000610352","0.833970010280609","0.68462997674942","","2.11","3.69","90.8500003814697","77.810001373291"
"Papua New Guinea","PNG","1997","71.605","","","","","","","","","","58.4","56.23","57.29","69.75","70.99","72.11","72.71","71.86","60.123","57.188","","0.1","0.1","1.8348623853211","8198","806","0.86981999874115","","","","1.97","3.81","90.980001449585","78.0699996948242"
"Korea, Dem. People's Rep.","PRK","2002","0.96","","","","","","","","","","76.38","75.98","76.18","75.43","81.39","89.17","91.28","86.29","70.432","62.993","","","","20.0873362445415","","256","","","","","2.53","3.41","86.0299987792969","85.0799980163574"
"Korea, Dem. People's Rep.","PRK","2019","0.289","","","","","","","","","","76.88","76.93","76.9","73.55","81.05","88.3","91.41","86.24","75.744","68.615","","","","17.6128093158661","","758","","","","","2.23","2.97","85.7599983215332","85.7599983215332"
"Paraguay","PRY","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","16.25","1701","119","","","","","","","",""
"Post-demographic dividend","PST","2015","14.158231529788","","","","","","","","","","45.0216494513276","47.7037344822137","46.3984945575334","52.943918408487","66.4830352629811","67.2076601518111","78.9324293990113","72.7212989188342","83.1273205828754","77.8106452606746","","0.105232205200833","0.104796147552344","28.5652456178316","1890039","395206","1.00009","1.00042","1.00074","1.17790997028351","6.83128293161558","6.89781302194452","7.70984256399639","10.2297709408704"
"French Polynesia","PYF","2009","41.3528","","","","","","","","","","33.33","45.18","39.35","48.29","52.48","64.5","69.28","61.1","77.801","73.199","","","","","","","","","","","12.2","11.11","10.0899995565414","15.3900002241134"
"Rwanda","RWA","1985","72.4718","","","","","","","","","","","","","","","","","","53.118","50.246","","","","","20110","376520","0.94897997379303","0.913770020008087","0.776830017566681","0.164790004491806","","","",""
"South Asia","SAS","1983","115.393215807943","","","","","","","","","","","","","","","","","","55.4499306635715","55.0812432177037","0.639020025730133","","","","","","0.66329","0.62122","0.53444","0.39860001206398","","","",""
"Saudi Arabia","SAU","2003","19.4694","","","","","","","","","","7.66","30.37","19.48","16.45","17.32","74.15","75.79","51.25","74.744","71.618","","0.1","0.1","0","240831","232","","","","1.33089005947113","12.65","4.41","2.24000011384487","5.8899999782443"
"Suriname","SUR","2015","63.189","","","","","","","","","","19.93","32.95","26.62","39.72","43.94","64.27","69.57","56.88","74.584","68.088","","0.2","0.1","25.4901960784314","","19","1.01013004779816","1.1340399980545","1.32175004482269","","11.65","4.46","10.0699999332428","13.5299996137619"
"Sweden","SWE","1991","11.4498","","","","","","","","","","64.51","64.17","64.34","62.47","81.08","71.67","84.97","83.06","80.53","74.94","","","","","124457","","1.0022200345993","1.02400994300842","1.04609000682831","1.18206000328064","2.95","3.51","5.28000020980835","11.5399996936321"
"Europe & Central Asia (IDA & IBRD countries)","TEC","1964","44.4178513997897","","","","","","","","","","","","","","","","","","68.994491175584","61.7604261462","","","","","","","","","","","","","",""
"Middle East & North Africa (IDA & IBRD countries)","TMN","1974","121.127892335823","","","","","","","","","","","","","","","","","","55.639496032697","53.910160829384","0.606389999389648","","","","","","0.62732","0.59691","0.51791","0.461739987134933","","","",""
"Tunisia","TUN","2017","7.841","","","","","","","","","","17.99","39.24","28.95","25.34","28.36","69.23","75.34","51.56","78.35","74.297","","0.1","0.1","31.3364055299539","726","1826","0.99575001001358","","","1.44579994678497","22.95","12.49","12.0699996948242","21.500000834465"
"Vanuatu","VUT","2016","50.0584","","","","","","","","","","50.64","60.85","55.71","60.96","61.68","79","79.66","70.64","71.674","68.544","","","","0","","","","","","","1.51","2","72.4800014495849","66.0400011539459"
"Kuwait","KWT","2017","8.194","","","","","","","","","","16.92","33.78","26.15","50.19","51.79","87.62","88.57","74.54","76.364","74.584","1.00444996356964","","","3.07692307692308","613","1097","1.03327000141144","","","1.52683997154236","5.86","0.97","0.0299999993294478","1.3999999947846"
"Bhutan","BTN","1991","102.262","","","","","","","","","","49.23","61.25","55.3","61.1","62.42","81.66","82.76","72.99","53.92","53.347","","0.1","0.1","","","9504","0.598469972610474","","","","1.26","1.39","78.4500026702881","75.9499988555908"
"Botswana","BWA","1973","155.18","","","","","","","","","","","","","","","","","","58.564","52.212","","","","","4500","","1.19519996643066","1.1543300151825","0.925390005111694","0.371980011463165","","","",""
"Central African Republic","CAF","1997","150.683","","","","","","","","","","51.88","56.66","54.26","65.26","66.83","80.58","80.66","73.6","47.211","43.566","","4.3","2.1","3.52941176470588","38490","139","","","","","4.66","4.29","94.4099998474121","90.9000015258789"
"Congo, Rep.","COG","1963","139.8868","","","","","","","","","","","","","","","","","","50.233","44.884","","","","","","","","","","","","","",""
"Germany","DEU","2008","9.4294","","","","","","","","","","49.95","55.45","52.75","52.11","69.67","66.71","82.08","75.94","82.4","77.2","","0.1","0.1","32.1895424836601","582719","162","0.992959976196289","0.978049993515015","0.972010016441345","","7.65","7.42","6.33999991416931","7.33999982476234"
"Djibouti","DJI","2005","27.5548","","","","","","","","","","48.21","53.35","50.8","47.1","49.61","74.15","76.86","63.3","59.449","56.565","","0.9","0.4","10.7692307692308","10455","498","0.817239999771118","0.75586998462677","0.66211998462677","0.71985000371933","11.73","11.39","48.4100003242493","36.6000015735626"
"East Asia & Pacific (excluding high income)","EAP","2000","21.9619297630153","","","","","","","","","","61.9239697936131","67.1303136113642","64.5892095531919","67.3455779777095","72.3020615089166","83.0536174741386","86.9704139226026","79.7615036179783","72.3453610466349","68.0979058462173","0.99168998003006","","","17.3228346456693","594174","849400","0.97927","0.96423","0.94368","0.874750018119812","3.11779255915944","3.68939965757774","61.7402182530734","61.7009499541591"
"Eritrea","ERI","1975","115.056","","","","","","","","","","","","","","","","","","46.799","43.376","","","","","","","","","","","","","",""
"Estonia","EST","1993","43.7448","","","","","","","","","","40.45","59.18","49.97","54.2","66.61","72.56","80.3","73.18","73.8","62.3","","0.1","0.1","","","95","0.977190017700195","1.02225005626678","1.06886994838715","1.04545998573303","6.64","6.46","3.85999989509582","6.8600001335144"
"Ethiopia","ETH","1963","115.7786","","","","","","","","","","","","","","","","","","41.84","38.79","","","","","","","","","","","","","",""
"Ethiopia","ETH","1993","117.6464","","","","","","","","","","66.17","80.59","73.43","66.39","67.79","89.94","90.57","79.03","49.913","46.848","","2.6","0.7","","272632","251828","0.699410021305084","0.745239973068237","0.875890016555786","","3.33","2.89","91.0900001525879","88.390001296997"
"Fragile and conflict affected situations","FCS","1960","142.817993963239","","","","","","","","","","","","","","","","","","42.5373417632243","39.4955607442403","","","","","","","","","","","","","",""
"Ghana","GHA","1979","133.1788","","","","","","","","","","","","","","","","","","53.251","50.773","","","","","300","","0.810270011425018","0.75654000043869","0.64749002456665","","","","",""
"Ghana","GHA","1980","131.5602","","","","","","","","","","","","","","","","","","53.52","51.083","","","","","","","0.818650007247925","0.765659987926483","0.660640001296997","","","","",""
"Gibraltar","GIB","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","0.993160009384155","0.988080024719238","0.979470014572144","","","","",""
"Guatemala","GTM","2014","75.5146","6.323827","14.6219","74.37481","76.38998","73.55624","10.60697","25.62519","23.61002","26.44376","33.1","72.16","52.84","40.83","42.53","84.41","86.31","63.68","76.001","69.804","0.976830005645752","0.1","0.1","13.2911392405063","160","7487","0.970529973506927","0.9619500041008","0.947809994220734","1.10336005687714","3.38","2.37","45.9600019454956","33.5299987792968"
"Guyana","GUY","1963","136.6756","","","","","","","","","","","","","","","","","","63.439","58.347","","","","","","","","","","","","","",""
"Guyana","GUY","2011","84.9654","","","","","","","","","","34.59","58.1","46.24","38.96","41.49","72.25","75.61","58.4","71.791","65.078","","0.3","0.1","31.3432835820896","7","768","0.962289988994598","0.995859980583191","1.03541004657745","1.54587996006012","15.31","10.7","34.7000007629395","27.9400010108947"
"Hong Kong SAR, China","HKG","1960","42.8062","","","","","","","","","","","","","","","","","","70.692","63.409","","","","","","","","","","","","","",""
"Hungary","HUN","1970","53.783","","","","","","","","","","","","","","","","","","72.12","66.35","","","","","","3490","","","","","","","",""
"IBRD only","IBD","1970","72.0813121803063","","","","","","","","","","","","","","","","","","58.8641240857668","55.2552769880631","","","","","","","0.78408","0.7776","0.75873","0.828130006790161","","","",""
"IDA & IBRD total","IBT","2020","","","","","","","","","","","","","","","","","","","","","","","","23.5006380263718","20557567","20160919","","","","","","","",""
"IDA total","IDA","2007","97.2220904044813","","","","","","","","","","40.4634063443252","59.2574301853168","49.9278428103774","50.5079133749945","51.8542286252344","78.5943906083015","79.9299326569882","65.8602230638877","60.7970150470096","58.0094574165239","","1.34659402036675","0.540225789901648","15.9014898145333","6513379","6046149","0.90668","0.88116","0.82144","","4.3744998078319","3.57775732081279","84.3177397929358","68.3683486163612"
"Indonesia","IDN","1974","124.5634","","","","","","","","","","","","","","","","","","56.639","53.127","","","","","","","0.809979975223541","0.772750020027161","0.596570014953613","","","","",""
"Ireland","IRL","2008","15.1788","","","","","","","","","","61.12","69.38","65.3","56.73","65.74","75.13","83.42","74.6","82.4","77.9","","0.1","0.1","13.2530120481928","9714","7","0.995199978351593","1.02286994457245","1.06690001487732","1.15876996517181","5.7","7.6","5.33000004291535","15.8900002837181"
"Iceland","ISL","2016","6.8872","","","","","","","","","","83.41","82.25","82.82","73.18","86.17","82.33","91.94","89.09","84.1","80.4","","0.1","0.1","47.6190476190476","245","","0.999000012874603","1.0010199546814","1.00183999538422","1.46504998207092","3.05","2.92","5.83999997377396","10.4600003063679"
"Kyrgyz Republic","KGZ","2014","39.516","33.7031322400892","47.2424449040143","99.7081417018139","99.6623878336137","99.7354047928562","41.0805541132616","0.291858298186082","0.337612166386289","0.26459520714377","34.21","54.04","44.29","50.39","53.89","75.03","78.28","65.93","74.5","66.5","","0.1","0.1","23.3333333333333","484","2449","0.990540027618408","1.00049996376038","1.00720000267029","1.23315000534058","9.49","7.03","38.1800003051758","43.5600008964538"
"Korea, Rep.","KOR","1983","11.1114","","","","","","","","","","","","","","","","","","71.9","63.4","","","","","","","1.00732004642487","0.957340002059937","0.899850010871887","0.370330005884171","","","",""
"Kuwait","KWT","1983","61.2118","","","","","","","","","","","","","","","","","","72.162","69.708","","","","","2220","","0.999880015850067","0.932449996471405","0.885070025920868","1.31666994094849","","","",""
"Latin America & Caribbean (excluding high income)","LAC","2008","72.5165867380275","","","","","","","","","","43.023597282143","64.2349564960659","53.7074386115494","50.9034303573515","54.9236918093808","78.753591894259","82.5595541581877","68.4827967604734","76.7578862719918","70.377461828146","1.00504004955292","","","23.1169542591071","147159","439568","0.96999","1.02719","1.09621","1.21297001838684","8.257762477895","5.09614031331454","35.0697410805721","31.8436130150335"
"Lebanon","LBN","1986","56.3364","","","","","","","","","","","","","","","","","","70.864","67.494","","","","","280798","630","","","","","","","",""
"Latin America & Caribbean","LCN","1979","91.2144815313009","","","","","","","","","","","","","","","","","","67.0907184845897","61.5785747527157","0.995739996433258","","","","","","0.97366","0.99812","1.04096","0.743809998035431","","","",""
